"rfam_acc","description","clen"
"RF02221","sRNA-Xcc1",87
"RF02236","Xanthomonas sRNA asX2",87
"RF02246","Six3os1 conserved region 1",87
"RF02591","S. pyogenes small RNA 1786666",87
"RF02630","Hfq-regulated sRNA 12",87
"RF02846","Enterococcus sRNA 84",87
"RF03056","RAGATH-35 RNA",87
"RF02874","Antisense to traG",86
"RF03082","dinG RNA",86
"RF03100","RAGATH-27 RNA",86
"RF00153","Small nucleolar RNA SNORD62",86
"RF00220","Human rhinovirus internal cis-acting regulatory element (CRE)",86
"RF00238","ctRNA",86
"RF00296","Small nucleolar RNA R16",86
"RF00320","Small nucleolar RNA Z185",86
"RF00370","sroD RNA",86
"RF00455","mir-15 microRNA precursor family",86
"RF00532","Small nucleolar RNA Me18S-Um1356",86
"RF00576","Small nucleolar RNA SNORD71",86
"RF00594","Small nucleolar RNA SNORD86",86
"RF00650","microRNA mir-153",86
"RF00655","microRNA mir-28",86
"RF00661","microRNA mir-31",86
"RF00709","microRNA mir-455",86
"RF00869","microRNA mir-BART7",86
"RF00892","microRNA mir-551",86
"RF00902","microRNA mir-791",86
"RF00912","microRNA mir-877",86
"RF00942","microRNA mir-1224",86
"RF00997","microRNA mir-942",86
"RF01039","microRNA mir-937",86
"RF01186","Small nucleolar RNA SNORD127",86
"RF01283","Small nucleolar RNA U30",86
"RF01285","Small nucleolar RNA U31b",86
"RF01422","small nucleolar RNA snoR116",86
"RF01455","Stem loopII regulatory element in POLB",86
"RF01552","Trypanosomatid snoRNA TB9Cs1H2",86
"RF01574","Dictyostelium snoRNA DdR6",86
"RF01929","Bithoraxoid conserved region 1",86
"RF02000","microRNA MIR1846",86
"RF02019","microRNA mir-1265",86
"RF02333","Tetrahymena snoRNA TtnuHACA27",86
"RF00014","DsrA RNA",85
"RF00055","Small nucleolar RNA SNORD96 family",85
"RF00112","CyaR/Rye RNA",85
"RF00133","Small nucleolar RNA Z195/SNORD33/SNORD32 family",85
"RF00134","Small nucleolar RNA Z196/R39/R59 family",85
"RF00257","mir-194 microRNA precursor family",85
"RF00439","Small nucleolar RNA SNORD87",85
"RF00476","Small nucleolar RNA snR61/Z1/Z11",85
"RF00531","Small nucleolar RNA Me28S-Gm3113",85
"RF00682","microRNA mir-144",85
"RF00702","microRNA mir-182",85
"RF00755","microRNA mir-542",85
"RF00767","microRNA mir-150",85
"RF00803","microRNA mir-425",85
"RF00839","microRNA mir-452",85
"RF00956","microRNA MIR1444",85
"RF01178","Small nucleolar RNA snoR77Y",85
"RF01188","Small nucleolar RNA snR56",85
"RF01786","Cyclic di-GMP-II riboswitch",85
"RF01880","X-chromosome inactivation gene exon 1",85
"RF02025","microRNA mir-3017",85
"RF02094","mir-1803 microRNA precursor",85
"RF02336","Giardia snoRNA GlsR1/miRNA miR6",85
"RF02406","Small nucleolar RNA snoR120",85
"RF02459","Necrovirus cap-independent translation element",85
"RF02521","Pea enation mosaic virus-2 cap-independent translation element",85
"RF02582","S. aureus tsr33 small RNA",85
"RF02643","S. pyogenes small RNA Spy491738",85
"RF02663","GmglnB1 5'UTR",85
"RF02827","Streptomyces RNA 6106",85
"RF02869","Burkholderia sRNA 25",85
"RF02893","RpsF leader",85
"RF02924","skipping-rope RNA",85
"RF02980","freshwater-2 RNA",85
"RF03023","rpfG RNA",85
"RF03052","RAGATH-28 RNA",85
"RF02681","Twister_sister_ribozyme",84
"RF02891","ArsR-gov region gene B",84
"RF03038","nhaA-II RNA",84
"RF03039","Peptidase-S11 RNA",84
"RF00027","let-7 microRNA precursor",84
"RF00200","Small nucleolar RNA Z199",84
"RF00233","Tymovirus/Pomovirus/Furovirus tRNA-like 3' UTR element",84
"RF00324","Small nucleolar RNA MBII-202",84
"RF00376","HIV gag stem loop 3 (GSL3)",84
"RF00527","Small nucleolar RNA Me28S-Gm3255",84
"RF00649","microRNA mir-128",84
"RF00657","microRNA mir-184",84
"RF00717","microRNA mir-315",84
"RF00725","microRNA mir-iab-4",84
"RF00737","microRNA mir-322",84
"RF00772","microRNA mir-328",84
"RF00776","microRNA mir-540",84
"RF00781","microRNA mir-505",84
"RF00862","microRNA mir-491",84
"RF00993","microRNA mir-1473",84
"RF01011","microRNA mir-605",84
"RF01061","microRNA mir-548",84
"RF01170","Small nucleolar RNA U61",84
"RF01179","Small nucleolar RNA U83",84
"RF01182","Small nucleolar RNA SNORD11",84
"RF01183","Small nucleolar RNA SNORD19B",84
"RF01280","Small nucleolar RNA snoR14",84
"RF01466","Listeria sRNA rli34",84
"RF01467","Listeria sRNA rli36",84
"RF01586","small nucleolar RNA snoR09",84
"RF01598","small nucleolar RNA snoR23",84
"RF01603","small nucleolar RNA snoR29",84
"RF01698","Chloroflexi-1 RNA",84
"RF01744","livK RNA",84
"RF01767","SMK box translational riboswitch (SAM-III)",84
"RF01938","microRNA mir-1251",84
"RF01998","Group II catalytic intron D1-D4-1",84
"RF02020","microRNA mir-25",84
"RF02021","microRNA mir-3179",84
"RF02059","Salmonella enterica sRNA STnc40",84
"RF02061","microRNA mir-301",84
"RF02109","Deleted in lymphocytic leukemia 2 conserved region 5",84
"RF02351","Proteobacteria sRNA psRNA14",84
"RF00152","Small nucleolar RNA SNORD79",83
"RF00188","Small nucleolar RNA SNORD103/SNORD85",83
"RF00204","Small nucleolar RNA R12",83
"RF00258","mir-130 microRNA precursor family",83
"RF00271","Small nucleolar RNA SNORD60",83
"RF00283","small Cajal body-specific RNA 18",83
"RF00368","sroB RNA",83
"RF00526","Small nucleolar RNA Me28S-U3344",83
"RF00644","microRNA mir-27",83
"RF00671","microRNA mir-138",83
"RF00687","microRNA mir-136",83
"RF00852","microRNA mir-231",83
"RF00858","microRNA mir-306",83
"RF00861","microRNA mir-488",83
"RF00875","microRNA mir-692",83
"RF00939","microRNA mir-504",83
"RF00964","microRNA mir-938",83
"RF00967","microRNA mir-281",83
"RF01025","microRNA mir-934",83
"RF01070","SucA RNA motif",83
"RF01177","Small nucleolar RNA snR67",83
"RF01181","Small nucleolar RNA snR77",83
"RF01506","A. fumigatus snoRNA Afu_294",83
"RF01569","Dictyostelium snoRNA DdR2",83
"RF01583","small nucleolar RNA snoR01",83
"RF01597","small nucleolar RNA snoR22",83
"RF01694","Bacteroides-1 RNA",83
"RF01814","rhtB sRNA",83
"RF01876","Myocardial infarction associated transcript exon 5 conserved region 2",83
"RF02071","Salmonella enterica sRNA STnc280",83
"RF02075","Enterobacterial sRNA STnc230",83
"RF02273","FsrA",83
"RF02570","Brucella melitensis small RNA 0117",83
"RF02651","Singlet oxygen resistance RNA Y",83
"RF02722","Small Cajal body specific RNA ncR27",83
"RF02725","Small nucleolar RNA ZL8",83
"RF02785","Trypanosomatid small nucleolar RNA 2",83
"RF02788","Small nucleolar RNA TBR6",83
"RF02791","Conserved CCUCCUCCC motif stress-induced RNA 1",83
"RF02866","Burkholderia sRNA 16 (Bc_KC_sr1)",83
"RF02904","Aggregatibacter sRNA 69",83
"RF03021","RT-18 RNA",83
"RF02717","Small nucleolar RNA ncR4",82
"RF02823","Legionella RNA 69",82
"RF02937","Clostridiales-2 RNA",82
"RF03044","Proteo-phage-1 RNA",82
"RF00051","mir-17 microRNA precursor family",82
"RF00105","Small nucleolar RNA SNORD115",82
"RF00159","Small nucleolar RNA Z168/Z174",82
"RF00352","Small nucleolar RNA R21",82
"RF00507","Coronavirus frameshifting stimulation element",82
"RF00536","Small nucleolar RNA Me28S-Cm3227",82
"RF00609","Small nucleolar RNA SNORD100",82
"RF00665","microRNA mir-290",82
"RF00686","microRNA mir-338",82
"RF00736","microRNA mir-320",82
"RF00981","microRNA mir-939",82
"RF01176","Small nucleolar RNA snR78",82
"RF01191","Small nucleolar RNA SNORD121A",82
"RF01596","small nucleolar RNA snoR20",82
"RF01599","small nucleolar RNA snoR24",82
"RF01676","Pseudomonas sRNA P31",82
"RF01787","drz-agam-1 ribozyme",82
"RF02227","Proteobacterial sRNA sX8",82
"RF02353","Bradyrhizobiaceae sRNA BjrC68",82
"RF02366","Cyanobacterial functional RNA 19",82
"RF02464","Actinobacteria sRNA Ms_AS-4",82
"RF02467","Mycobacterium sRNA Ms_IGR-2",82
"RF02631","Hfq-regulated sRNA 13",82
"RF00206","Small nucleolar RNA U54",81
"RF00239","mir-124 microRNA precursor family",81
"RF00254","mir-16 microRNA precursor family",81
"RF00279","Small nucleolar RNA SNORD45",81
"RF00315","Small nucleolar RNA J33",81
"RF00318","Small nucleolar RNA Z175",81
"RF00326","Small nucleolar RNA Z155",81
"RF00641","microRNA mir-154",81
"RF00670","microRNA mir-105",81
"RF00680","microRNA mir-224",81
"RF00771","microRNA mir-185",81
"RF00836","microRNA mir-250",81
"RF00864","microRNA mir-BART20",81
"RF00870","microRNA mir-423",81
"RF00884","microRNA MIR815",81
"RF00918","microRNA mir-872",81
"RF00934","microRNA mir-463",81
"RF00935","microRNA mir-876",81
"RF00977","microRNA mir-600",81
"RF01019","microRNA mir-922",81
"RF01117","Ciona microRNA mir-92",81
"RF01175","Small nucleolar RNA U83",81
"RF01281","Small nucleolar RNA snoR35",81
"RF01560","Dictyostelium snoRNA DdR10",81
"RF01573","Dictyostelium snoRNA DdR5",81
"RF02077","Salmonella enterica sRNA STnc220",81
"RF02095","mir-2985-2 microRNA precursor",81
"RF02133","HOXB13 antisense RNA 1 conserved region 2",81
"RF02595","Epstein-Barr virus stable intronic sequence RNA 1",81
"RF02674","antisense RNA of dnaA mRNA",81
"RF02732","Aggregatibacter sRNA JA04",81
"RF02900","Aggregatibacter sRNA 82",81
"RF03004","Lacto-phage-1 RNA",81
"RF03078","chrB-a RNA",81
"RF02930","aspS RNA",80
"RF02938","COG2827 RNA",80
"RF03034","nrdJ RNA",80
"RF00147","Small nucleolar RNA SNORD34",80
"RF00157","Small nucleolar RNA SNORD55/SNORD39",80
"RF00172","ctgf/hcs24 CAESAR",80
"RF00203","Small nucleolar RNA R160",80
"RF00217","Small nucleolar RNA SNORD20",80
"RF00284","Small nucleolar RNA SNORD74",80
"RF00464","mir-92 microRNA precursor family",80
"RF00494","Small nucleolar RNA U2-19",80
"RF00535","Small nucleolar RNA Me28S-Am982",80
"RF00577","Small nucleolar RNA SNORD72",80
"RF00696","microRNA mir-203",80
"RF00733","microRNA mir-296",80
"RF00749","microRNA mir-208",80
"RF00915","microRNA mir-760",80
"RF01171","Small nucleolar RNA snoR4",80
"RF01173","Small nucleolar RNA U105B",80
"RF01423","small nucleolar RNA snoR117",80
"RF01563","Dictyostelium snoRNA DdR13",80
"RF01592","small nucleolar RNA snoR17",80
"RF01624","Nematode snoRNA ceN27",80
"RF01844","SmY spliceosomal RNA",80
"RF02017","microRNA mir-1912",80
"RF02022","microRNA mir-1275",80
"RF02037","IMES-4 RNA motif",80
"RF02213","ZFAT antisense RNA 1 conserved region 3",80
"RF02395","Staphylococcus sRNA sau-66",80
"RF02425","Streptococcus sRNA SpF01",80
"RF02445","Streptococcus sRNA SpR14",80
"RF02549","Pseudoknot PSK3",80
"RF00107","FinP",79
"RF00110","RybB RNA",79
"RF00119","C0299 RNA",79
"RF00236","ctRNA",79
"RF00280","Small nucleolar RNA SNORD51",79
"RF00362","Pospiviroid RY motif stem loop",79
"RF00521","SAM riboswitch (alpha-proteobacteria)",79
"RF00533","Small nucleolar RNA Me18S-Gm1358",79
"RF00740","microRNA mir-370",79
"RF00802","microRNA mir-207",79
"RF00868","microRNA mir-BART15",79
"RF01003","microRNA mir-563",79
"RF01006","microRNA mir-601",79
"RF01035","microRNA mir-887",79
"RF01042","microRNA mir-891",79
"RF01174","Small nucleolar RNA U43",79
"RF01279","Small nucleolar RNA snoR53Y",79
"RF01838","sobemovirus ribosomal frameshift elemental",79
"RF02089","CLRN1 antisense RNA 1 conserved region",79
"RF02183","ST7 overlapping transcript 3 conserved region 1",79
"RF02207","WT1 antisense RNA conserved region 5",79
"RF02211","ZFAT antisense RNA 1 conserved region 1",79
"RF02245","microRNA mir-788",79
"RF02454","Bacillus sRNA ncr982",79
"RF02477","Small nucleolar RNA GlsR9",79
"RF02538","Vibrio ToxT activated RNA TarB",79
"RF02871","Burkholderia sRNA 54",79
"RF02944","c4-2 RNA",79
"RF02701","Photosynthesis regulatory RNA1",78
"RF02761","sR084 sRNA",78
"RF02922","RAGATH-32 RNA",78
"RF02923","HTH-XRE RNA",78
"RF02934","caiA RNA",78
"RF02949","Cupriavidus-1 RNA",78
"RF00116","C0465 RNA",78
"RF00129","mir-103/107 microRNA precursor",78
"RF00137","Small nucleolar RNA SNORD83",78
"RF00268","Small nucleolar RNA snoZ7/snoR77",78
"RF00325","Small nucleolar RNA SNORD53/SNORD92",78
"RF00355","Small nucleolar RNA snoR28",78
"RF00559","Ribosomal protein L21 leader",78
"RF00622","Mammalian CPEB3 ribozyme",78
"RF00669","microRNA mir-96",78
"RF00750","microRNA mir-458",78
"RF00919","microRNA mir-874",78
"RF00932","microRNA mir-471",78
"RF00950","microRNA mir-927",78
"RF01057","S-adenosyl-L-homocysteine riboswitch",78
"RF01172","Small nucleolar RNA sn2343",78
"RF01475","Listeria snRNA rli45",78
"RF01535","Trypanosomatid snoRNA TB10Cs5H2",78
"RF01566","Dictyostelium snoRNA DdR16",78
"RF01604","small nucleolar RNA snoR28",78
"RF01662","Caenorhabditis snoRNA ceN89",78
"RF01682","Pseudomonas sRNA P8",78
"RF01779","AS1726 sRNA",78
"RF01885","Heat shock gene hsromega conserved region 1",78
"RF01987","ZEB2 antisense RNA 1 conserved region 4",78
"RF02096","mir-2973 microRNA precursor",78
"RF02231","Xanthomonas sRNA sX12",78
"RF02241","Xanthomonadaceae sRNA Xoo2",78
"RF02304","Tetrahymena snoRNA TtnuCD29",78
"RF02362","Cyanobacterial functional RNA 10",78
"RF02371","PyrG leader",78
"RF02551","ABC transporter regulator",78
"RF02565","Y RNA-like",78
"RF00049","Small nucleolar RNA SNORD36",77
"RF00085","Small nucleolar RNA SNORD28",77
"RF00103","mir-1 microRNA precursor family",77
"RF00136","Small nucleolar RNA SNORD81",77
"RF00143","mir-6 microRNA precursor",77
"RF00281","Small nucleolar RNA SNORD47",77
"RF00519","Makes More Granules Regulator RNA (mmgR)",77
"RF00520","ybhL leader",77
"RF00574","Small nucleolar RNA SNORD69",77
"RF00712","microRNA mir-460",77
"RF00909","microRNA mir-883",77
"RF00910","microRNA mir-873",77
"RF00929","microRNA mir-574",77
"RF00933","microRNA mir-875",77
"RF01009","microRNA mir-M7",77
"RF01163","Small nucleolar RNA snoR64a",77
"RF01166","Small nucleolar RNA sn3071",77
"RF01167","Small nucleolar RNA sn2429",77
"RF01168","Small nucleolar RNA SNORD126",77
"RF01169","Small nucleolar RNA SNORD112",77
"RF01301","Small nucleolar RNA snoR4a",77
"RF01394","isrK Hfq binding RNA",77
"RF01501","A. fimigatus snoRNA Afu_199",77
"RF01526","C. elegans snoRNA ceN106",77
"RF01706","Gut-1 RNA",77
"RF01809","SymR antitoxin",77
"RF02074","Enterobacterial sRNA STnc240",77
"RF02275","Hammerhead ribozyme HH9",77
"RF02282","Tetrahymena snoRNA TtnuCD5",77
"RF02298","Tetrahymena snoRNA TtnuCD22",77
"RF02338","Giardia snoRNA GlsR16//miRNA miR3",77
"RF02408","Small nucleolar RNA snoR124",77
"RF02495","Oppression of Hydrophobic ORF by sRNA",77
"RF02544","Mitochondrion-encoded tmRNA",77
"RF02564","Nucleoid-associated noncoding RNA 4 (CssrE)",77
"RF02724","Small nucleolar RNA ZL2",77
"RF02873","Antisense to traI",77
"RF02898","Aggregatibacter sRNA 20",77
"RF02965","CyVA-1 RNA",77
"RF03097","RAGATH-21 RNA",77
"RF02952","dfrA-dnaX RNA",76
"RF02959","DUF3085 RNA",76
"RF03051","RAGATH-26 RNA",76
"RF00069","Small nucleolar RNA SNORD24",76
"RF00076","mir-181 microRNA precursor",76
"RF00087","Small nucleolar RNA SNORD26",76
"RF00202","Small nucleolar RNA R66",76
"RF00241","mir-8/mir-141/mir-200 microRNA precursor family",76
"RF00245","mir-19 microRNA precursor family",76
"RF00295","Small nucleolar RNA TBR7",76
"RF00569","Small nucleolar RNA SNORD19",76
"RF00572","Small nucleolar RNA SNORD66",76
"RF00866","microRNA mir-BART3",76
"RF00899","microRNA mir-235",76
"RF00922","microRNA mir-673",76
"RF00931","microRNA mir-879",76
"RF00945","microRNA mir-1226",76
"RF01404","PinT (STnc440) Hfq binding RNA",76
"RF01561","Dictyostelium snoRNA DdR11",76
"RF01587","small nucleolar RNA snoR10",76
"RF01622","Nematode snoRNA ceN22",76
"RF01647","Caenorhabditis snoRNA ceN61",76
"RF01665","Pseudomonas sRNA P13",76
"RF01705","Flavo-1 RNA",76
"RF01708","L17 ribosomal protein downstream element",76
"RF02031","tpke11",76
"RF02083","OrzO-P RNA antitoxin family",76
"RF02107","Deleted in lymphocytic leukemia 2 conserved region 3",76
"RF02219","ZNRD1 antisense RNA 1 conserved region 2",76
"RF02228","Xanthomonas sRNA sX9",76
"RF02255","Adaptive response 33 conserved region 1",76
"RF02598","Epstein-Barr virus stable intronic sequence RNA 2",76
"RF00043","R1162-like plasmid antisense RNA",75
"RF00078","MicA sRNA",75
"RF00104","mir-10 microRNA precursor family",75
"RF00181","Small nucleolar RNA SNORD113/SNORD114 family",75
"RF00253","mir-101 microRNA precursor family",75
"RF00467","Rous sarcoma virus (RSV) primer binding site (PBS)",75
"RF00530","Small nucleolar RNA Me28S-Cm2645",75
"RF00538","Small nucleolar RNA CD11",75
"RF00642","microRNA mir-23",75
"RF00707","microRNA mir-197",75
"RF00813","microRNA mir-11",75
"RF00891","microRNA mir-671",75
"RF00976","microRNA mir-583",75
"RF00986","microRNA mir-920",75
"RF00996","microRNA mir-631",75
"RF01066","6C RNA",75
"RF01393","isrJ Hfq binding RNA",75
"RF01415","Flavivirus 3'UTR stem loop IV",75
"RF01562","D. discoideum snoRNA DdR12",75
"RF01782","ASpks TB sRNA",75
"RF01924","microRNA mir-2774",75
"RF02026","microRNA mir-2833",75
"RF02202","Urothelial cancer associated 1 conserved region",75
"RF02248","Six3os1 conserved region 3",75
"RF02386","Staphylococcus sRNA sau-19",75
"RF02661","icaR 5' UTR",75
"RF02716","Small nucleolar RNA ncR3",75
"RF02912","putative aminoglycoside riboswitch / attI site",75
"RF02974","Fibro-purF RNA",75
"RF03027","RT-6 RNA",75
"RF02676","Enterohemorrhagic E. coli sRNA 41",74
"RF02682","HDV ribozyme from F. prausnitzii",74
"RF02917","Burkholderiales-2 RNA",74
"RF02945","Corio-PBP RNA",74
"RF00244","mir-26 microRNA precursor family",74
"RF00249","mir-46/mir-47/mir-281 microRNA precursor family",74
"RF00460","U1A polyadenylation inhibition element (PIE)",74
"RF00539","Small nucleolar RNA Me28S-Cm788",74
"RF00606","Small nucleolar RNA SNORD93",74
"RF00608","Small nucleolar RNA SNORD99",74
"RF00624","Pseudomonas sRNA P9",74
"RF00684","mir-122 microRNA precursor",74
"RF00751","microRNA mir-12",74
"RF00823","microRNA lsy-6",74
"RF00953","microRNA mir-1497",74
"RF01014","microRNA mir-1306",74
"RF01015","microRNA mir-885",74
"RF01164","Small nucleolar RNA SNORD107",74
"RF01541","Trypanosomatid snoRNA TB11Cs4H3",74
"RF01605","small nucleolar RNA snoR30",74
"RF01634","Caenorhabditis snoRNA ceN44",74
"RF01641","Caenorhabditis snoRNA ceN53",74
"RF02085","Yellow-achaete intergenic RNA conserved region 1",74
"RF02086","Yellow-achaete intergenic RNA conserved region 2",74
"RF02288","Tetrahymena snoRNA TtnuCD11",74
"RF02290","Tetrahymena snoRNA TtnuCD14",74
"RF02307","Tetrahymena snoRNA TtnuCD33",74
"RF02373","PyrD leader",74
"RF02407","Small nucleolar RNA snoR122",74
"RF02466","Actinobacteria sRNA Ms_AS-8",74
"RF02628","Hfq-regulated sRNA 1",74
"RF00093","Small nucleolar RNA SNORD18",73
"RF00186","Small nucleolar RNA SNORD101",73
"RF00273","Small nucleolar RNA SNORD59",73
"RF00316","Small nucleolar RNA R43",73
"RF00342","Small nucleolar RNA Z40",73
"RF00344","Small nucleolar RNA Z267",73
"RF00571","Small nucleolar RNA SNORD65",73
"RF00699","microRNA mir-134",73
"RF00701","microRNA mir-126",73
"RF00715","microRNA mir-383",73
"RF00716","microRNA mir-3",73
"RF00897","microRNA mir-675",73
"RF01524","Trypanosomatid snoRNA TB10cs1H3",73
"RF01548","Trypanosomatid snoRNA TB6Cs1H4",73
"RF01626","Caenorhabditis snoRNA ceN30",73
"RF01697","Chlorobi-RRM RNA",73
"RF01832","Repression of heat shock gene expression (ROSE) element",73
"RF01839","eastern equine encephalitis ribosomal frameshift element",73
"RF02023","microRNA mir-1208",73
"RF02186","ST7 overlapping transcript 3 conserved region 4",73
"RF02270","Neisseria sigma-E sRNA",73
"RF02403","A. fumigatus snoRNA Afu_328",73
"RF02443","Streptococcus sRNA SpR08",73
"RF02784","Singlet oxygen resistance RNA X",73
"RF02811","FHbp 5' UTR thermometer",73
"RF02814","Sulfolobus sRNA133",73
"RF02984","DUF3800-X RNA",73
"RF03091","Clostridium-PBP RNA",73
"RF02727","Small nucleolar RNA ZL116",72
"RF02754","ES205 sRNA",72
"RF02780","PutA 5' UTR thermometer",72
"RF02992","hya RNA",72
"RF03032","narK RNA",72
"RF03036","osmY RNA",72
"RF03047","RAGATH-16 RNA",72
"RF03064","RAGATH-18 RNA",72
"RF00047","mir-2 microRNA precursor",72
"RF00071","Small nucleolar RNA SNORD73",72
"RF00145","Small nucleolar RNA Z105",72
"RF00170","Retron msr RNA",72
"RF00187","Small nucleolar RNA SNORD102",72
"RF00270","Small nucleolar RNA SNORD61",72
"RF00274","Small nucleolar RNA SNORD57",72
"RF00278","Small nucleolar RNA SNORD50",72
"RF00339","Small nucleolar RNA snoR60",72
"RF00525","Flavivirus DB element",72
"RF00658","microRNA mir-21",72
"RF00722","microRNA mir-451",72
"RF00849","microRNA mir-60",72
"RF00854","microRNA mir-5",72
"RF01076","Polymerase ribosomal frameshift site",72
"RF01160","Small nucleolar RNA sn2841",72
"RF01161","Small nucleolar RNA SNORD5",72
"RF01538","Trypanosomatid snoRNA TB11Cs3H1",72
"RF01539","Trypanosomatid snoRNA TB11Cs4H1",72
"RF01668","Pseudomonas sRNA P10",72
"RF01714","Ocean-V RNA",72
"RF01811","Plasmid transferred anti-sense RNA",72
"RF02068","Enterobacterial sRNA STnc480",72
"RF02163","Small nucleolar RNA sR-tMet",72
"RF02181","ST7 antisense RNA 2 conserved region 1",72
"RF02280","Tetrahymena snoRNA TtnuCD3",72
"RF02283","Tetrahymena snoRNA TtnuCD6",72
"RF02299","Tetrahymena snoRNA TtnuCD23",72
"RF00005","tRNA",71
"RF00052","lin-4 microRNA precursor",71
"RF00074","mir-29 microRNA precursor",71
"RF00086","Small nucleolar RNA SNORD27",71
"RF00179","GAIT element",71
"RF00251","mir-219 microRNA precursor family",71
"RF00266","Small nucleolar RNA Z17",71
"RF00275","Small nucleolar RNA SNORD56",71
"RF00277","Small nucleolar RNA SNORD49",71
"RF00610","Small nucleolar RNA SNORD110",71
"RF00744","microRNA mir-361",71
"RF00753","microRNA mir-503",71
"RF00840","microRNA mir-374",71
"RF00894","microRNA mir-790",71
"RF00898","microRNA mir-242",71
"RF00904","microRNA mir-392",71
"RF01004","microRNA mir-557",71
"RF01158","Small nucleolar RNA SNORD108",71
"RF01159","Small nucleolar RNA U18",71
"RF01489","Listeria sRNA sbrA",71
"RF01522","Trypanosomatid snoRNA TB10Cs1H1",71
"RF01542","Trypanosomatid snoRNA TB11Cs5H1",71
"RF01558","Trypanosomatid snoRNA TB9Cs4H2",71
"RF01652","Caenorhabditis snoRNA ceN70",71
"RF01666","Drosophila rox2 ncRNA",71
"RF01680","Pseudomonas sRNA P5",71
"RF01841","venezuelan equine encephalitis virus ribosomal frameshift element",71
"RF01972","H19 conserved region 1",71
"RF02064","Enterobacterial sRNA STnc370",71
"RF02119","FTX transcript, XIST regulator conserved region 1",71
"RF02172","RFPL3 antisense RNA 1 conserved region 2",71
"RF02256","Adaptive response 33 conserved region 2",71
"RF02340","Dengue virus SLA",71
"RF02517","mir-1017 microRNA precursor family",71
"RF02522","Pea enation mosaic virus-2 cap-independent translation element",71
"RF02733","ToxT 5' UTR thermometer",71
"RF02996","int-alpA RNA",71
"RF02679","Pistol ribozyme",70
"RF02796","Pab160 RNA",70
"RF02853","Yersinia sRNA 201",70
"RF02910","Coronavirus 5' stem-loops 1-2",70
"RF02968","DUF3800-IX RNA",70
"RF00088","Small nucleolar RNA SNORD30",70
"RF00154","Small nucleolar RNA SNORD63",70
"RF00158","Small nucleolar RNA SNORD82",70
"RF00212","Small nucleolar RNA SNORD38",70
"RF00215","Tombus virus defective interfering (DI) RNA region 3",70
"RF00240","RNA-OUT",70
"RF00289","Small nucleolar RNA SNORD104",70
"RF00363","mir-BART1 microRNA precursor family",70
"RF00493","Small nucleolar RNA U2-30",70
"RF00588","Small nucleolar RNA SNORD41",70
"RF00651","microRNA mir-221",70
"RF00666","microRNA mir-32",70
"RF00693","microRNA mir-147",70
"RF01156","Small nucleolar RNA SNORD123",70
"RF01165","Small nucleolar RNA sn2317",70
"RF01299","Small nucleolar RNA SNORD2",70
"RF01536","Trypanosomatid snoRNA TB10Cs5H3",70
"RF01537","Trypanosomatid snoRNA TB11Cs2H1",70
"RF01551","Trypanosomatid snoRNA TB8Cs4H2",70
"RF01567","D. discoideum snoRNA DdR17",70
"RF01600","small nucleolar RNA snoR25",70
"RF01611","Caenorhabditis snoRNA ceN108",70
"RF01615","Nematode snoRNA ceN111",70
"RF01751","potC RNA",70
"RF01759","sucC RNA",70
"RF01784","bablM sRNA",70
"RF02057","Salmonella enterica sRNA STnc40",70
"RF02126","Ghrelin opposite strand RNA conserved region",70
"RF02295","Tetrahymena snoRNA TtnuCD19",70
"RF02337","Giardia snoRNA GlsR8/miRNA miR10",70
"RF02499","Rhizobiales sRNA Atu_C4",70
"RF02580","S. aureus tsr31 small RNA",70
"RF00089","Small nucleolar RNA SNORD31",69
"RF00331","Small nucleolar RNA Z169",69
"RF00626","Gurken localisation signal",69
"RF00667","microRNA mir-33",69
"RF00668","microRNA mir-302",69
"RF00700","microRNA mir-375",69
"RF01298","Small nucleolar RNA U25",69
"RF01532","Trypanosomatid snoRNA TB10Cs3H2",69
"RF01545","Trypanosomatid snoRNA TB3Cs2H1",69
"RF01646","Caenorhabditis snoRNA ceN63",69
"RF01701","Cyano-1 RNA",69
"RF01905","HOTAIR conserved region 2",69
"RF01952","SOX2 overlapping transcript exon 2",69
"RF01973","H19 conserved region 2",69
"RF02024","microRNA mir-1180",69
"RF02097","mir-1662 microRNA precursor",69
"RF02125","JPX transcript, XIST activator conserved region 2",69
"RF02523","Repression of heat shock gene expression (ROSE) element",69
"RF02710","TeloSII non coding RNA 45",69
"RF02847","Enterococcus sRNA 64",69
"RF02961","DUF3800-II RNA",69
"RF02985","ftsZ-DE RNA",69
"RF03015","Transposase-2 RNA",69
"RF02721","Small Cajal body specific RNA ncR26",68
"RF02801","Pyrobaculum sRNA 201",68
"RF02843","Enterococcus sRNA A5",68
"RF02913","pemK RNA",68
"RF02993","ilvH RNA",68
"RF03081","DUF805 RNA",68
"RF00150","Small nucleolar RNA SNORD42",68
"RF00178","mir-24 microRNA precursor family",68
"RF00189","Small nucleolar RNA SNORD95",68
"RF00194","Rubella virus 3' cis-acting element",68
"RF00262","sar RNA",68
"RF00501","Rotavirus cis-acting replication element (CRE)",68
"RF00591","Small nucleolar RNA SNORD77",68
"RF00703","microRNA mir-139",68
"RF00735","microRNA mir-367",68
"RF00784","microRNA mir-486",68
"RF00818","microRNA mir-318",68
"RF00844","microRNA mir-67",68
"RF00979","microRNA mir-553",68
